ID,TITLE,ABSTRACT,Status,YEAR,AUTHORS,URL,Publisher,Facet: Topic
,A Cooperative Two-Tier Energy-Aware Scheduling for Real-Time Tasks in Computing Clouds,"Customers in a cloud would like to receive the results of their task as soon as possible while paying less. On the other hand, cloud providers aim to mitigate the operational cost of cloud environments. In other words, a limited budget makes providers create efficient cloud systems that utilize the computational powers of the clouds while minimizing their energy consumptions and environmental footprints. One of the prevalent techniques in mitigating the total energy consumptions of data-centers is through using consolidation of virtual machines (VMs). However, it incurs significant overheads on both computing resources and network infrastructure of a cloud. Furthermore, it causes tasks to be accomplished later or even it might lead to System Level Agreement (SLA) violations. To address the aforementioned challenges, we propose a cooperative two-tier task scheduling approach to benefit both cloud providers and their customers. It regulates the execution speeds of real-time tasks in a way that a host reaches the optimum level of utilization instead of migrating its tasks to other hosts. We also propose several predictive global task scheduling policies to map arrived tasks to feasible VMs. The simulation results show that the proposed task scheduling approach not only reduces the total energy consumption of a cloud by 41\%, but also has profound impacts on turnaround times of real-time tasks by 85\%.",,2014,"Hosseinimotlagh, Seyedmahyar Seyedmehdi & Khunjush, Farshad",http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6787270 http://dl.acm.org/citation.cfm?id=2607054.2607425,IEEE,SLA and Cloud
,Auditing Cloud Service Level Agreement on VM CPU Speed,"In this paper, we present a novel scheme for auditing Service Level Agreement (SLA) in a semi-trusted or untrusted cloud. A SLA is a contract formed between a cloud service provider (CSP)and a user which specifies, in measurable terms, what resources a the CSP will provide the user. CSP's being profit based companies have incentive to cheat on the SLA. By providing a user with less resources than specified in the SLA the CSP can support more users on the same hardware and increase their profits. As the monitoring and verification of the SLA is typically performed on the cloud system itself it is straightforward for the CSP to lie on reports and hide their intentional breach of the SLA. To prevent such cheating we introduce a framework which makes use of a third party auditor (TPA). In this paper we are interested in CPU cheating only. To detect CPU cheating, we develop an algorithm which makes use of a commonly used CPU intensive calculation, transpose matrix multiplication, to randomly detect cheating by a CSP. Using real experiments we show that our algorithm can detect CPU cheating quite effectively even if the extent of the cheating is fairly small.",,2014,"Houlihan, Ryan; Du, Xiaojiang; Tan, Chiu C.; Wu, Jie & Guizani, Mohsen",http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.434.3845 http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6883417,IEEE,SLA and Cloud
,Constructing a Cloud-Centric Service Assurance Platform for Computing as a Service,"As the cloud market is growing fast and more and more enterprises are moving their services to the cloud, assurance of cloud service quality becomes one of the key success factors of cloud business. Due to the dynamic nature of the cloud, it's more complicated to manage and guarantee quality level in the cloud than that in the telecommunication. In order to address these issues, we developed a service assurance oriented platform, Cloud BOSS, which has the capabilities of monitoring and measuring, problem management, and quality management. Every module in this platform cooperates with each other via standard JMX (Java Management Extensions) interfaces. An end-to-end SLA (Service Level Agreement) mechanism was also depicted to show how we manage to meet the service agreements with customers and demonstrate a practical way of mapping KPIs (Key Performance Indicators) to KQIs (Key Quality Indicators).",,2011,"Hu, Jun-Yan; Wu, Chun-Hung; Chu, Chia-Chen; Liang, Kuan-Hsiung; Young, Hey-Chyi; Hsu, Yung-Yi; Hu, Chung-Hua & Lin, Huan-Guo",http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6079416 http://dl.acm.org/citation.cfm?id=2082756.2083273,IEEE,SLA and Cloud
,Resource provisioning for cloud computing,,,2009,"Hu, Ye; Wong, Johnny; Iszlai, Gabriel & Litoiu, Marin",http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.369.9746 http://dl.acm.org/citation.cfm?id=1723028.1723041,ACM Press,SLA and Cloud
,An adaptive resource management scheme in cloud computing,"There are various significant issues in resource allocation, such as maximum computing performance and green computing, which have attracted researchers’ attention recently. Therefore, how to accomplish tasks with the lowest cost has become an important issue, especially considering the rate at which the resources on the Earth are being used. The goal of this research is to design a sub-optimal resource allocation system in a cloud computing environment. A prediction mechanism is realized by using support vector regressions (SVRs) to estimate the number of resource utilization according to the SLA of each process, and the resources are redistributed based on the current status of all virtual machines installed in physical machines. Notably, a resource dispatch mechanism using genetic algorithms (GAs) is proposed in this study to determine the reallocation of resources. The experimental results show that the proposed scheme achieves an effective configuration via reaching an agreement between the utilization of resources within physical machines monitored by a physical machine monitor and service level agreements (SLA) between virtual machines operators and a cloud services provider. In addition, our proposed mechanism can fully utilize hardware resources and maintain desirable performance in the cloud environment.",,2013,"Huang, Chenn-Jung; Guan, Chih-Tai; Chen, Heng-Ming; Wang, Yu-Wu; Chang, Shun-Chih; Li, Ching-Yu & Weng, Chuan-Hsiang",http://dl.acm.org/citation.cfm?id=2400748.2401068 http://www.sciencedirect.com/science/article/pii/S0952197612002655,"Pergamon Press, Inc.",SLA and Cloud
,The improvement of auto-scaling mechanism for distributed database - A case study for MongoDB,"In recent years, cloud computing is the most popular topic on the IT industry. The underlying virtualization technologies, that make cloud computing possible, also get more and more attention. Gradually, companies move their services to the virtual host. These services include: desktop virtualization, application virtualization and database virtualization etc. Among these services, database virtualization can improve flexibility, maximize efficiency, lower costs and ease administrative overhead. In this paper, we use on-demand features of cloud computing and sharding features of MongoDB to provide an auto-scaling database virtualization solution that satisfy the service-level agreement (SLA) requirements. First, we apply an auto-scaling mechanism of route server in the database system. The experimental results show that the average response time of auto-scaling DB solution and none-scaling DB solution are 4.3 seconds and 7.1 seconds, respectively. Second, in order to minimize the impact when moving data to a new VM, we also design a shard data migration algorithm for the database system. The auto-scaling DB solution uses the algorithm to determine how many VM should be added and which data should be moved to those added VM.",,2013,"Huang, Chao-Wen; Hu, Wan-Hsun; Chia-Chun Shih; Bo-Ting Lin & Chien-Wei Cheng",,,SLA and Cloud
,CLOUD COMPUTING IN SPACE,,,,"Huang, Jiangchuan; Kirsch, Christoph M. & Sengupta, Raja",http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.381.8677,,SLA and Cloud
,Dynamic Virtual Machine migration algorithms using enhanced energy consumption model for green cloud data centers,"Cloud data centers consume an enormous amount of energy. Virtual Machine (VM) migration technology can be applied to reduce energy consumption by consolidating VMs onto the minimal number of servers and turn idle servers into power-saving modes. While most existing energy models consider mainly computing energy, an enhanced energy consumption model is formulated, which includes energy consumption for computation, for servers to switch from standby to active modes, and for communication during VM migrations. Next, two new dynamic VM migration algorithms are proposed. They apply a local regression method to predict potentially over-utilized servers, and the 0-1 knapsack dynamic programming to find the best-fit combination of VMs for migration. The time complexity of these algorithms is analyzed, which indicates that they are highly scalable. Performance is evaluated and compared with existing algorithms. The two new heuristics have significantly reduced the number of VM migration, the number of rebooted servers, and energy consumption. Furthermore, one of them has achieved the least overall SLA violations. We believe that the new energy formulation and the two new heuristics contribute significantly towards achieving green cloud computing.",,2014,"Huang, Jing; Wu, Kai & Moh, Melody",http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6903785,IEEE,SLA and Cloud
,Enhanced Energy-Efficient Scheduling for Parallel Applications in Cloud,"Energy consumption has become a major concern to the widespread deployment of cloud data centers. The growing importance for parallel applications in the cloud introduces significant challenges in reducing the power consumption drawn by the hosted servers. In this paper, we propose an enhanced energy-efficient scheduling (EES) algorithm to reduce energy consumption while meeting the performance-based service level agreement (SLA). Since slacking non-critical jobs can achieve significant power saving, we exploit the slack room and allocate them in a global manner in our schedule. Using random generated and real-life application workflows, our results demonstrate that EES is able to reduce considerable energy consumption while still meeting SLA.",,2012,"Huang, Qingjia; Su, Sen; Li, Jian; Xu, Peng; Shuang, Kai & Huang, Xiao",http://dl.acm.org/citation.cfm?id=2310096.2310173 http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6217511,IEEE,SLA and Cloud
,Migration-Based Elastic Consolidation Scheduling in Cloud Data Center,"Virtualization and cloud computing technologies now make it possible to consolidate multiple online services, which are packed in Virtual Machines (VMs), into a smaller number of physical servers. However, it is still a challenging scheduling problem for cloud provider to dynamically manage the VM allocation for handling variable workloads without Service Level Agreement (SLA) violation. In this paper, we propose a Migration-based Elastic Consolidation Scheduling (MECS) mechanism to automate elastic resource scaling for cloud systems. Different from the previous researches, we take both the dynamic workload fluctuation and the VM migration overhead into account. We first develop an online resource demand predictor, which is an ARIMA-based VM resource demand state predictor, to achieve adaptive resource allocation for cloud applications. We then propose a migration-based elastic consolidation scheduling heuristic to dynamically consolidate the VMs with adaptive resource allocation for reducing the number of physical machines. Extensive experiment results show that our scheduling is able to realize elastic resource allocation with acceptable effect on SLAs.",,2013,"Huang, Qingjia; Su, Sen; Xu, Siyuan; Li, Jian; Xu, Peng & Shuang, Kai",http://dl.acm.org/citation.cfm?id=2570451.2570679 http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6679869,IEEE,SLA and Cloud
,Auditing CPU Performance in Public Cloud,"Cloud computing services offer elastic computing and storage to end-users over the Internet in a pay-as-you-go way. Many businesses have started using cloud computing. A Service Level Agreement (SLA) between a cloud service provider (CSP) and a user is a contract that specifies the resources and performances that the cloud should provide. However, a CSP has the incentive to cheat on SLA, e.g., providing users with less CPU and memory resources than that specified in the SLA, which allows the CSP to support more users and make more profits. Unfortunately, there are no tools to allow users to verify the SLA. We study the important issue of verifying SLA in a semi-trusted (or untrusted) cloud. In this paper, we focus on the verification of CPU speed, which is an important metric in cloud SLA. We propose a lightweight stealthy test algorithm that can check if a CSP provides the CPU speed as specified in the SLA. Using real experiments, we show that the algorithm can detect cloud cheating on CPU speed (i.e., SLA violations) in a stealthy way.",,2013,"Huang, Qiang; Ye, Lin; Liu, Xinran & Du, Xiaojiang",http://dl.acm.org/citation.cfm?id=2552868.2552909 http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6655711,IEEE,SLA and Cloud
,M-convex VM Consolidation: Towards a Better VM Workload Consolidation,"Consolidating virtual machine workload is a unique feature of cloud computing platforms that greatly reduces the operating cost of the cloud data center. Correctly consolidating VMs’ workloads for a large scale cloud computing platform is nontrivial because a shortsighted scheme may save some cost in one aspect but becomes expensive in other aspects being neglected. In this paper, we present a framework that automates the VM consolidation process to improve the VMs and servers assignment whenever such improvement is possible. The proposed VM consolidation framework can achieve a balance among multiple administrative objectives (e.g., power cost, network cost) during the VM consolidation process. The solution method of solving the VM consolidation problem is designed based on the powerful and efficient semi quasi Mconvex optimization framework. The proposed algorithm can also produce VM consolidation solutions that require minimal system reconfigurations (e.g., VM migrations, turning on/off servers). More importantly, the proposed algorithm can be implemented distributedly so that the scalability of the proposed framework is greatly improved. As a result, the proposed framework is efficient, scalable and highly practical.",,2014,"Huang, Zhe & Tsang, Danny",http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6953123,,SLA and Cloud
,A virtual machine consolidation framework for MapReduce enabled computing clouds,"In nowadays computing clouds, it is of the cloud providers' economic interests to correctly consolidate the workload of the virtual machines (VMs) into the suitable physical servers in the cloud data center in order to minimize the total maintenance cost. However, during the consolidation process, sufficient protection should be provided to the service level agreement (SLA) of the VMs. In this paper, the VM consolidation problem for MapReduce enabled computing clouds has been investigated. In the MapReduce enabled computing clouds, MapReduce jobs are carried out by homogeneous MapReduce VM instances that have identical hardware resource. Two resource allocation schemes with corresponding SLA constraints for the MapReduce VMs and the non-MapReduce VMs are proposed. Based on these schemes, the VM consolidation problem is modeled as an integer nonlinear optimization problem and an efficient algorithm has been proposed to locate its solutions. The results show that better VM consolidation performance can be achieved by colocating MapReduce instances together with non-MapReduce instances in the same set of physical servers.",,2012,"Huang, Zhe; Tsang, Danny H. K. D.H.K.; She, James & Zhe Huang",http://dl.acm.org/citation.cfm?id=2414276.2414308,International Teletraffic Congress,SLA and Cloud
,Integrated Green Cloud Computing Architecture,"Arbitrary usage of cloud computing, either private or public, can lead to uneconomical energy consumption in data processing, storage and communication. Hence, green cloud computing solutions aim not only to save energy but also reduce operational costs and carbon footprints on the environment. In this paper, an Integrated Green Cloud Architecture (IGCA) is proposed that comprises of a client-oriented Green Cloud Middleware to assist managers in better overseeing and configuring their overall access to cloud services in the greenest or most energy-efficient way. Decision making, whether to use local machine processing, private or public clouds, is smartly handled by the middleware using predefined system specifications such as service level agreement (SLA), Quality of service (QoS), equipment specifications and job description provided by IT department. Analytical model is used to show the feasibility to achieve efficient energy consumption while choosing between local, private and public Cloud service provider (CSP).",,2012,"Hulkury, Mohammad Naiim & Doomun, Mohammad Razvi",http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6516364 http://dl.acm.org/citation.cfm?id=2494763.2494922,IEEE,SLA and Cloud
,Novel Concepts for Realizing Neural Networks as Services in the Sky,"A Virtual Organization (VO) is logical orchestration of globally dispersed resources to achieve common goals fostering new computing paradigms as Utility Computing, Grid Computing, Autonomic Computing, Clusters Computing and Cloud computing. The Computational Intelligence community is striving hard to build an online community to share resources such as data, paradigms, human expertise, models and methods. We build up on the N2Sky system, a Virtual Organization architecture for the Computational Intelligence community, which provides sharing and exchange of neural network resources, neural network specific knowledge, neural network objects and paradigms. In this paper we present novel extensions to N2Sky: automatic exploitation of parallelization capabilities of modern hardware (Multi-core servers, GPGPU) and softwares (OpenMP, CUDA), SLA management for Quality-of-Service guarantees of Cloud resources, and NN2Query, a novel query interface facilitating the user to find solutions to problems by smart searching of neural network resources using semantic web technology.",,2014,"Huqqani, Altaf Ahmad; Mann, Erwin & Schikuta, Erich",http://www.sciencedirect.com/science/article/pii/S1877050914003937,,SLA and Cloud
,Effective Third Party Auditing in Cloud Computing,"Cloud computing is the next phase in the Internet's evolution, providing the means through which computing power, computing infrastructure, applications, business processes can be delivered to businesses and individual as a service wherever and whenever they need. Businesses who use cloud service providers (CSP) tend to have service level agreements (SLA) that act as contract and define the level of expected service from the CSP, including availability, performance and security. Recent research suggests the use of third party auditors (TPA) as a mean to monitor CSPs. This paper shows how CSP may deceit the SLA to reduce their cost and become more competitive, while avoiding detection by TPAs. The paper presents a crowdsourced TPA model to monitor the CSPs and consequently detect any deception.",,2014,"Hussain, Mohammed & Al-Mourad, Mohamed Basel",http://dl.acm.org/citation.cfm?id=2634437.2635323 http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6844619,IEEE,SLA and Cloud
,Semantic similarity model for risk assessment in forming cloud computing SLAs,,,2010,"Hussain, Omar; Dong, Hai & Singh, Jaipal",http://dl.acm.org/citation.cfm?id=1926129.1926146,Springer-Verlag,SLA and Cloud
,Bandwidth-aware virtual machines allocation for high performance communication-intensive applications,"Cloud computing has become a step up in computing whereby shared computation resources are provided on demand. As Infrastructure-as-a-Service (IaaS) providers provide more and more services to users, they also have to balance between the user's Service Level Agreement (SLAs) and the cost of resource usage. To optimize resource usage as low as possible while keeping user's SLA guaranteed is one of the most significant tasks. For those who use IaaS system to run their high performance applications such as communication-intensive applications, congestion of network becomes a critical problem. Sending a numerous requests to network-unaware scheduler maybe not processed due to network bottleneck while resource usage is very low. In this paper, to solve this problem, we propose a scheme of minimizing the required bandwidth consumption between every pair of virtual machines while keeping an introduced SLA to users. We show that our scheduler takes advantage of serving heavy communication-intensive applications with a lot of requested virtual machines.",,2013,"Huynh, Loc N.",http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6614934,IEEE,SLA and Cloud
,A Mutual Nonrepudiation Protocol for Cloud Storage with Interchangeable Accesses of a Single Account from Multiple Devices,"Obtaining mutual nonrepudiation between the user and service provider is crucial in cloud storage. One of the solutions for mutual nonrepudiation is based on logging attestations, which are signed messages. For every request, clients and service provider exchange attestations. These attestations will be used in an auditing protocol to verify their behavior. The chain-hashing scheme chains attestations and stores them in service provider for supporting write serializability and read freshness of files. However, the chain-hashing scheme is inefficient when files in an account can be accessed by multiple client devices interchangeably. In this paper we first show that the chain-hashing scheme cannot resist roll-back attack from service provider unless client devices keep all the attestations or there exists a way to broadcast the last attestation to all the client devices. We propose a scheme that can guarantee mutual nonrepudiation between the user and service provider without requiring the client devices to exchange any messages, and each client device only has to store the last attestation it received. We also propose how to apply the hash tree to remove accumulated attestations. The results from related experiments demonstrate the feasibility of the proposed scheme. A service provider of cloud storage can use the proposed scheme to provide a mutual nonrepudiation guarantee in their service-level agreement.",,2013,"Hwang, Gwan-Hwan; Peng, Jenn-Zjone & Huang, Wei-Sian",http://dl.acm.org/citation.cfm?id=2554136.2554171 http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6680872,IEEE,SLA and Cloud
,A SLA driven VM auto-scaling method in hybrid cloud environment,"The advent of Science Clouds enables scientists to facilitate large-scale scientific computational experiments over cloud environment besides specialized supercomputers in diverse science domains. Cloud computing service elicits efficiency on on-demand resource usage and timely execution at any given time depending on experimental requirements. Hybrid clouds, composing of private and public clouds, even extend research opportunities on resource selection for further complicated experiments but increase the needs of dynamic resource management to maximize its utilization. At existing public cloud providers for commercial use, rule-based and schedule-based mechanisms have been tried for automatic resource allocation to provide resources for processing dynamic workload of modern applications. However, most of the auto-scaling methods just simply support performance metric such as CPU utilization but rarely are aware of Service Level Agreements (SLA) including execution deadline or cost. In this paper, we propose an auto-scaling method that automatically allocates resources depending on variable resource requirements in hybrid clouds satisfying a user's requirements on SLA. We present experimental results which show that the proposed auto-scaling can minimize SLA violations and acceptable cost if needed.",,2013,Hyejeong Kang; Jung-in Koh; Yoonhee Kim & Jaegyoon Hahm,,,SLA and Cloud
,A method for fast switching of redundant networks between data centers,"Last year's earthquake in Eastern Japan sparked a growing demand for redundant structures in Web 3-tier model/servers, NICs and physical lines - which are required by conventional on-premises environments with high reliability and availability - to be directly migrated to cloud environments. In such environments, when applying ICMP connectivity checks and conventional fault detection methods such as IP-SLA, it takes time to recover from faults to allow for coordination between the core network and the user logical networks in the cloud. This paper proposes a method where a correspondence list of user logical networks and core networks is registered beforehand in a cloud management system. When a fault has occurred, the NIC of the virtual machine corresponding to the fault location is closed off, thereby resulting in a rapid switchover to a redundant configuration.",,2012,"Inoue, Tomoko; Kishi, Toshiharu; Nagafuchi, Yukio; Koyama, Takaaki & Kitazume, Hideo",http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6388292,IEEE,SLA and Cloud
,Cloudbus Toolkit for Market-Oriented Cloud Computing,,,2009,"Iqbal, Waheed; Dailey, Matthew; Carrera, David; Buyya, Rajkumar; Pandey, Suraj & Vecchiola, Christian",http://dl.acm.org/citation.cfm?id=1695659.1695664,Springer Berlin Heidelberg,SLA and Cloud
,SLA-Driven Adaptive Resource Management for Web Applications on a Heterogeneous Compute Cloud,"Current service-level agreements (SLAs) offered by cloud providers make guarantees about quality attributes such as availability. However, although one of the most important quality attributes from the perspective of the users of a cloud-based Web application is its response time, current SLAs do not guarantee response time. Satisfying a maximum average response time guarantee for Web applications is difficult due to unpredictable traffic patterns, but in this paper we show how it can be accomplished through dynamic resource allocation in a virtual Web farm. We present the design and implementation of a working prototype built on a EUCALYPTUS-based heterogeneous compute cloud that actively monitors the response time of each virtual machine assigned to the farm and adaptively scales up the application to satisfy a SLA promising a specific average response time. We demonstrate the feasibility of the approach in an experimental evaluation with a testbed cloud and a synthetic workload. Adaptive resource management has the potential to increase the usability of Web applications while maximizing resource utilization.",,,,http://dl.acm.org/citation.cfm?id=1695659.1695683,,
,SLA-Driven Dynamic Resource Management for Multi-tier Web Applications in a Cloud,"Current service-level agreements (SLAs) offered by cloud providers do not make guarantees about response time of Web applications hosted on the cloud. Satisfying a maximum average response time guarantee for Web applications is difficult due to unpredictable traffic patterns. The complex nature of multi-tier Web applications increases the difficulty of identifying bottlenecks and resolving them automatically. It may be possible to minimize the probability that tiers (hosted on virtual machines) become bottlenecks by optimizing the placement of the virtual machines in a cloud. This research focuses on enabling clouds to offer multi-tier Web application owners maximum response time guarantees while minimizing resource utilization. We present our basic approach, preliminary experiments, and results on a EUCALYPTUS-based testbed cloud. Our preliminary results shows that dynamic bottleneck detection and resolution for multi-tier Web application hosted on the cloud will help to offer SLAs that can offer response time guarantees.",,2010,"Iqbal, Waheed; Dailey, Matthew N. & Carrera, David",http://dl.acm.org/citation.cfm?id=1844765.1845140 http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=5493374,IEEE,SLA and Cloud
,Advances in Grid and Pervasive Computing,,,2010,"Iqbal, Waheed; Dailey, Matthew N.; Carrera, David & Janecek, Paul",http://dl.acm.org/citation.cfm?id=2143846.2143856,Springer Berlin Heidelberg,SLA and Cloud
,Adaptive resource provisioning for read intensive multi-tier applications in the cloud,"A Service-Level Agreement (SLA) provides surety for specific quality attributes to the consumers of services. However, current SLAs offered by cloud infrastructure providers do not address response time, which, from the user’s point of view, is the most important quality attribute for Web applications. Satisfying a maximum average response time guarantee for Web applications is difficult for two main reasons: first, traffic patterns are highly dynamic and difficult to predict accurately; second, the complex nature of multi-tier Web applications increases the difficulty of identifying bottlenecks and resolving them automatically. This paper proposes a methodology and presents a working prototype system for automatic detection and resolution of bottlenecks in a multi-tier Web application hosted on a cloud in order to satisfy specific maximum response time requirements. It also proposes a method for identifying and retracting over-provisioned resources in multi-tier cloud-hosted Web applications. We demonstrate the feasibility of the approach in an experimental evaluation with a testbed EUCALYPTUS-based cloud and a synthetic workload. Automatic bottleneck detection and resolution under dynamic resource management has the potential to enable cloud infrastructure providers to provide SLAs for Web applications that guarantee specific response time requirements while minimizing resource utilization.",,2011,"Iqbal, Waheed; Dailey, Matthew N.; Carrera, David & Janecek, Paul",http://dl.acm.org/citation.cfm?id=1967762.1967921 http://www.sciencedirect.com/science/article/pii/S0167739X10002098,Elsevier Science Publishers B. V.,SLA and Cloud
,Strategic and operational services for workload management in the cloud,,,2013,"Ishakian, Vatche",http://dl.acm.org/citation.cfm?id=2519951,Boston University,SLA and Cloud
,MORPHOSYS: Efficient Colocation of QoS-Constrained Workloads,,,2011,"Ishakian, Vatche",http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.190.7204,,SLA and Cloud
,Formal Verification of SLA Transformations,"Desirable application performance is typically guaranteed through the use of Service Level Agreements (SLAs) that specify fixed fractions of resource capacities that must be allocated for unencumbered use by the application. The mapping between what constitutes desirable performance and SLAs is not unique: multiple SLA expressions might be functionally equivalent. Having the flexibility to transform SLAs from one form to another in a manner that is provably safe would enable hosting solutions to achieve significant efficiencies. This paper demonstrates the promise of such an approach by proposing a type-theoretic framework for the representation and safe transformation of SLAs. Based on that framework, the paper describes a methodical approach for the inference of efficient and safe mappings of periodic, real-time tasks to the physical and virtual hosts that constitute a hierarchical scheduler. Extensive experimental results support the conclusion that the flexibility afforded by safe SLA transformations has the potential to yield significant savings.",,2011,"Ishakian, Vatche; Lapets, Andrei; Bestavros, Azer & Kfoury, Assaf",http://dl.acm.org/citation.cfm?id=2061037.2061198 http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6012789,IEEE,SLA and Cloud
,CloudPack ⋆ Exploiting Workload Flexibility Through Rational Pricing,,,,"Ishakian, Vatche; Sweha, Raymond & Bestavros, Azer",http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.299.5999,,SLA and Cloud
,Dynamic Pricing For Efficient Workload Colocation,,,,"Ishakian, Vatche; Sweha, Raymond; Bestavros, Azer & Appavoo, Jonathan",http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.220.9519,,SLA and Cloud
,Implementation and Performance Evaluation of a Distributed Conjugate Gradient Method in a Cloud,,,,"Ismail, Leila & Barua, Rajeev",http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.298.9272,,SLA and Cloud
,Cost aware fault recovery in clouds,"Maintaining high availability of IaaS services at a reasonable cost is a challenging task that received recent attention due to the growing popularity of Cloud computing as a preferred means of affordable IT outsourcing. In large data-centers faults are prone to happen and thus the only reasonable cost-effective method of providing high availability of services is an SLA aware recovery plan; that is, a mapping of the service VMs onto backup machines where they can be executed in case of a failure. The recovery process may benefit from powering on some of these machines in advance, since redeployment on powered machines is much faster. However, this comes with an additional maintenance cost, so the real problem is how to balance between the expected recovery time improvement and the cost of machines activation. We model this problem as an offline optimization problem and present a bicriteria approximation algorithm for it. While this is the first performance guaranteed algorithm for this problem, it is somewhat complex to implement in practice. Thus, we further present a much simpler and practical heuristic based on a greedy approach. We evaluate the performance of this heuristic over real data-center data, and show that it performs well in terms of scale, hierarchical faults and variant costs. Our results indicate that our scheme can reduce the overall recovery costs by 10-15\% when compared to currently used approaches. We also show that fault recovery cost aware VM placement may farther help reducing the expected recovery costs, as it can reduce the backup machine activations costs.",,2013,"Israel, A. & Raz, D.",,,SLA and Cloud
,OPTIMIZING SERVICE REPLICATION IN CLOUDS,,,,"Jain, S.; Creasey, R. R.; Himmelspach, J.; White, K. P.; Fu, M.; Bj\""{o}rkqvist, Mathias; Chen, Lydia Y. & Binder, Walter",http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.416.5187,,SLA and Cloud
,Security Challenge in Cloud Computing,,,,"Jaleel, Ms Asiya",http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.429.754,,SLA and Cloud
,Usage Management in Cloud Computing,"User concerns regarding data handling within the cloud will gain increasing importance as cloud computing becomes more pervasive. Existing service level agreement (SLA) frameworks are not designed for flexibly handling even relatively straightforward usage policies. This paper introduces the notion and importance of usage management in cloud computing. It provides an analysis of features and challenges involved in deploying a usage management framework over a distributed cloud environment to enable automated and actionable interpretation, reasoning and enforcement of usage policies. Finally, a preliminary architecture for such a framework is proposed.",,2011,"Jamkhedkar, Pramod A.; Lamb, Christopher C. & Heileman, Gregory L.",http://dl.acm.org/citation.cfm?id=2055437.2055553 http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6008751,IEEE,SLA and Cloud
,CloudExp: A comprehensive cloud computing experimental framework,"Cloud computing is an emerging and fast-growing computing paradigm that has gained great interest from both industry and academia. Consequently, many researchers are actively involved in cloud computing research projects. One major challenge facing cloud computing researchers is the lack of a comprehensive cloud computing experimental tool to use in their studies. This paper introduces CloudExp, a modeling and simulation environment for cloud computing. CloudExp can be used to evaluate a wide spectrum of cloud components such as processing elements, data centers, storage, networking, Service Level Agreement (SLA) constraints, web-based applications, Service Oriented Architecture (SOA), virtualization, management and automation, and Business Process Management (BPM). Moreover, CloudExp introduces the Rain workload generator which emulates real workloads in cloud environments. Also, MapReduce processing model is integrated in CloudExp in order to handle the processing of big data problems.",,2014,"Jararweh, Yaser; Jarrah, Moath; Kharbutli, Mazen; Alshara, Zakarea; Alsaleh, Mohammed Noraden & Al-Ayyoub, Mahmoud",http://www.sciencedirect.com/science/article/pii/S1569190X14001464,,SLA and Cloud
,Managing OVF applications under SLA constraints on contrail virtual execution platform,"The move of users and organizations to Cloud computing will become possible when they will be able to exploit their own applications, applications and services provided by cloud providers as well as applications from third party providers in a trustful way on different cloud infrastructures. To reach this goal, standard application formats must be enabled on the cloud to avoid vendor lock-in, and guarantees concerning protection, performance and security must be supported. This article describes the Contrail VEP component developed by the Contrail project. The VEP component is in charge of managing the whole life cycle of OVF distributed applications under Service Level Agreement rules on different infrastructure providers.",,2012,"Jegou, Y.; Harsh, P.; Cascella, R.G.; Dudouet, F. & Morin, C.",,,SLA and Cloud
