ID;TITLE;ABSTRACT;Status;YEAR;AUTHORS;URL;Publisher;Facet: Research Topic;;;;;;;;;;;;;;;;;
615;Cross-Correlation Prediction of Resource Demand for Virtual Machine Resource Allocation in Clouds;Cloud computing is aimed at offering elastic resource allocation on demand in a pay-as-you-go fashion to cloud consumers. To achieve this goal in automatic manner, a resource scaling mechanism is needed that maintains application performance according to Service Level Agreements (SLA) and reduces resource costs at the same time. In this paper, we present a cross-correlation prediction approach based on machine learning that predicts resource demands of multiple resources of virtual machines running in a cloud infrastructure. Based on these predictions, a proactive resource allocation scheme is applied that assigns only the required resources to virtual machines to keep their cost to a minimum. Experimental results with the web serving multi-tier application benchmark of CloudSuite show the effectiveness of our approach compared to a non-cross-correlation prediction technique in achieving better prediction accuracy and better application performance.;;2014;Minarolli, Dorian & Freisleben, Bernd;http://dl.acm.org/citation.cfm?id=2678832.2678926;IEEE Computer Society;SLA and Cloud;;;;;;;;;;;;;;;;;
616;Revenue Maximization for Cloud Computing Environment through Resource Sharing by SLA;Cloud computing is receiving a great demand among the budding and old enterprises depending on various Information Technology Services in the present IT Scenario. Cloud provides various services which mostly depend upon a good decision making process to handle various requests from service consumers. The Cloud users are mostly divided into two premium or priority and basic users. As far as priority users are concerned the resources are reserved well in advance and it shows a strong negotiation between the service providers and end users. If there is lack of resources the provider has to pay some reimbursement to the user as per the agreement called as Service Level Agreement (SLA), whereas the elementary user gets the service but has to make more than the premium user. In this case providers always attempt is made to reduce the repayment and maximize the revenue. Here the goal of our paper is to achieve the service pooling mechanism with an energy-aware allocation method in PAAS model to save the overall expenses. Experimental outcomes in the proposed research also demonstrate how the projected outline is able to handle cost, revenue, penalty and efficient server utilization for cloud services.;;;"Mishra, Asish; Butt, Muheet Ahmed & Zaman, Majid";http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.302.8798;;SLA and Cloud;;;;;;;;;;;;;;;;;
617;GUEST EDITORIAL CLOUD COMPUTING: NETWORKING AND COMMUNICATION CHALLENGES;;excluded;;"Mishra, Amitabh; Jain, Raj & Durresi, Arjan";http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.302.9883;;SLA and Cloud;;;;;;;;;;;;;;;;;
618;Learning Automata-Based QoS Framework for Cloud IaaS;This paper presents a Learning Automata (LA)-based QoS (LAQ) framework capable of addressing some of the challenges and demands of various cloud applications. The proposed LAQ framework ensures that the computing resources are used in an efficient manner and are not over- or under-utilized by the consumer applications. Service provisioning can only be guaranteed by continuously monitoring the resource and quantifying various QoS metrics, so that services can be delivered in an on-demand basis with certain levels of guarantee. The proposed framework helps in ensuring guarantees with these metrics in order to provide QoS-enabled cloud services. The performance of the proposed system is evaluated with and without LA, and it is shown that the LA-based solution improves the performance of the system in terms of response time and speed up.;;2014;"Misra, Sudip; Krishna, P. Venkata; Kalaiselvan, K.; Saritha, V. & Obaidat, Mohammad S.";http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6750688;;SLA and Cloud;;;;;;;;;;;;;;;;;
619;An SLA Ontology to Support Service Discovery in Future Cloud Markets;Today a few providers dominate the market of cloud services. Very often, services advertised by different commercial providers are comparable in terms of offered features (both functional and non-functional) and price. We believe the lack of interoperability among cloud platforms is the main cause for this panorama of flattened cloud offers. Luckily, many initiatives are working at the definition of specifications that, once successfully adopted, will open up a new scenario of interoperable clouds. In that scenario, cloud providers will have to diversify their offerings in order to serve the widest possible range of customers' request, customers, in their turn, will be able to choose, from a large assortment of services, those fitting their specific needs. In this work we address these issues by proposing a semantic discovery framework to support providers in creating and advertising their augmented offers, and to help customers making fine-tuned cloud service searches. Final objective is to implement an offer-demand matchmaking process capable of maximizing providers' and customers' utility. To enable mechanisms capable of reasoning on the actual requests' needs and offers' features, ontologies have been defined that describe the cloud context from a business point of view. In particular, guarantees offered by SLAs are the key business features put under the focus of this work. Preliminary tests on a software prototype show the effectiveness of the proposed approach.;;2013;"Modica, G. D.; Petralia, G. & Tomarchio, O.";http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6550552 http://dl.acm.org/citation.cfm?id=2497619.2497923;IEEE;SLA and Cloud;;;;;;;;;;;;;;;;;
620;Monitoring and Reconfiguration for OCCI Resources;Monitoring and reconfiguration are critical issues in Cloud environments. Monitoring allows to detect violations and specific events, while reconfiguration allows to activate corrective mechanisms or runtime modifications. In this paper we propose an extension for Open Cloud Computing Interface (OCCI) to enable monitoring and reconfiguration. The extension describes the needed elements to manage (i.e., to monitor and reconfigure) cloud resources on demand. The definition entails the introduction of new OCCI Resources, Links and Mixins. We define on the one hand new types needed to monitor metrics based on a previously established SLA. On the other hand we define the needed types to reconfigure our managed resources when needed. The newly added elements are OCCI entities defined as generic Kinds, that are specialized using OCCI Mixins. Using these elements, the user is provided with a monitoring and reconfiguration infrastructure on demand. We propose herein, a real use case based on HTTP rendering showing how to establish and link the described elements of the infrastructure.;;2013;"Mohamed, Mohamed; Belaid, Djamel & Tata, Samir";http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6753844 http://dl.acm.org/citation.cfm?id=2568486.2568574;IEEE;SLA and Cloud;;;;;;;;;;;;;;;;;
621;Power aware provisioning in cloud computing environment;"In today's IT computing era, there is shift to aggregate computing resources into data centers (DC) shared by pool of users. With the increasing popularity of cloud computing, this pool of users are now more global than any-time in the past The resource demand of these users are inadvertently governed by strict “service level agreements”. In this paradigm, data centers' operational energy costs are a rising concern as they continue an upward trend that is poised to surpass the capital cost of equipment in a typical lifetime usage model. A data center is a complex distributed system comprised of a hierarchy of numerous components; and operating at multitude levels of usage abstractions. Virtualization is an approach to consolidating multiple services onto a smaller number of computing resources. A virtualized server environment allows computing resources to be shared among multiple performance-isolated platforms called virtual machines. Virtual Machine(VM) technology has been widely applied in data center environments due to its seminal features, including reliability, flexibility, and the ease of management. We define set of service-provider controllable policies comprising of number of physical servers, possible number of VMs, possible VM request queue length and maximum number of requests per VM threshold. For each of these defined policy, we implement a dynamic resource provisioning framework for virtualized server environment which achieves power efficiency by using optimum power efficient allocation and workload forecasting scheme to ensure that workload request meet the defined SLAs and the data center operates with least power consumption. Finally, based on the results from our implementation, we analyze and infer on the best policy which meets SLA commitments and has the least energy consumption.";;2011;Mohan Raj, V.K. & Shriram, R.;http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=5762447;IEEE;SLA and Cloud;;;;;;;;;;;;;;;;;
622;Digital Intellectual Property as a Service (DIPaaS): For Mobile Cloud Users;With the integration of cloud computing, smart phones enormously improved in processing power, storage, communication efficiency, and reliability. The technical architecture of Cloud strongly supports the efficient delivery of services in mobile environment. Whereas the mobile cloud users can access all the resources as a service dynamically in elastic mode. Accessing Digital Intellectual Property as a Service (DIPaaS) on flexible economic basis is a major interest among the mobile users. DIP is the piece of work of human intellectual in digital form such as eBook, software program, e-painting, movie, song, computer game, and etc. The DIP services complex in nature, involves creator, manufacturer, distributor, licensing agencies, and service providers. However, the service limitations exist, shall be overcome with an understanding approach to Service Level Agreement (SLA). DIP applications consume a large of local resources and could not be implemented on standalone mobile phones. Therefore, we realize increasing demand for an efficient service-model which satisfies the mobile cloud users at large. We proposed the first service-model includes both technical and service architecture to encourage the stakeholders for DIP access in mobile cloud environment. Eventually we present an efficient access to Digital Intellectual Property as a Service in Mobile Cloud Environment (DIPaaSMCE).;;2013;"Mohiuddin, Khalid; Mohammad, Ashiquee Rasool; Sivarathri, Srinivas & Lackshe, Juma Abdulkhader";http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6724319 http://dl.acm.org/citation.cfm?id=2551584.2551599;IEEE;SLA and Cloud;;;;;;;;;;;;;;;;;
623;Collaborative policy-based autonomic management: in a hierarchical model;In this paper we address some of the main challenges in collaboration between different autonomic managers in a policy-based management environment. We focus on three main questions: how should managers collaborate with each other, when do they need to collaborate and what information do they need to exchange in communication. In our initial investigation, we explore a hierarchical model for organizing the autonomic managers. We evaluate the approach via a prototype inspired by cloud providers' virtualized infrastructure and show how collaboration between managers in a hierarchy can improve the response time of a web server and avoid SLA violations.;;2011;Mola, Omid & Bauer, Michael A. M.A.;http://dl.acm.org/citation.cfm?id=2147671.2147728;International Federation for Information Processing;SLA and Cloud;;;;;;;;;;;;;;;;;
624;Towards predictive cost models for cloud ecosystems: Poster paper;The rapid increase in the demand for cloud computing is driving a more recent increasing move towards multi-cloud environments by infrastructure providers. However, one of the main challenges for infrastructure providers is in sustaining profitability while provisioning services and components in such multi-cloud environments. This poster paper presents work towards predictive cost modeling for cloud ecosystems. Both real-time and historical analysis of service, virtual and physical resource information gathered from cloud infrastructure is used to drive both economic assessment and prediction models which can anticipate future service economic trends and the effect on total cost of ownership at the infrastructure provider side. This aids driving decisions to be made based on increased or reduced costs, which aids decision-support to effectively fulfil SLA requirements.;;2013;Molka, Karsten & Byrne, James;http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6577736;IEEE;SLA and Cloud;;;;;;;;;;;;;;;;;
625;SLA-Aware Profit Optimization in Cloud Services via Resource Scheduling;In this paper, we present our analysis of resource scheduling to achieve SLA-aware profit optimization in cloud services. This work is part of a real system called Intelligent Cloud Database Coordinator (ICDC), which is being built at the NEC Labs to manage very large cloud service delivery infrastructures. As we present in our performance evaluation, the analysis shows that the choice of resource scheduling policy makes a significant difference in SLA delivery and total profit of the cloud service provider.;;2010;"Moon, Hyun Jin; Chi, Yun & Hacig\""{u}m\""{u}s, Hakan";http://dl.acm.org/citation.cfm?id=1849412.1849741 http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=5575798;IEEE;SLA and Cloud;;;;;;;;;;;;;;;;;
626;"SLA-Aware Profit Optimization in Cloud Services via 
Resource Scheduling";"The users of cloud computing services are not only able to significantly reduce their IT costs and turn their capital expenditures to operational expenditures, but also able to speed up their innovation capabilities thanks to the on-demand access to vast IT resources in the cloud. While the cloud computing offers the clients all these advantages, it creates a number of challenges for the cloud service providers who try to create successful businesses: they have to handle diverse and dynamic workloads in a highly price-competitive way to convince the potential clients to use the service delivery model instead of in-house hosting of IT 
functions. In addition, the quality of service should be comparable in all aspects to the capabilities that can be delivered off of an IT infrastructure under the full control of the clients. Thus, the success of cloud-based services arguably depends on the two major factors: quality of service and cost management. 
In this paper, we present our analysis of resource scheduling to achieve SLA-aware profit optimization in cloud services. This work is part of a real system called Intelligent Cloud Database Coordinator (ICDC), which is being built at the NEC Labs to manage very large cloud service delivery infrastructures. As we 
present in our performance evaluation, the analysis shows that the choice of resource scheduling policy makes a significant difference in SLA delivery and total profit of the cloud service provider.";;;"Moon, Hyun Jin; Chi, Yun & Hacıg\""{u}m\""{u}_, Hakan";http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.187.2987;;SLA and Cloud;;;;;;;;;;;;;;;;;
627;Scalable Cloud for Urgent Massive Email Delivery;When there is the necessity to send an email message to a big list of email destinations and following the valid standard Simple Mail Transfer Protocol (SMTP), it takes too much time to be delivered, because this message is sent one by one to each of the email destinations. If we talk also of an important message that all the recipients are in need to receive it in a timeless way, converting this need as a Real Time System, that will let them being able to take the corresponding immediate actions and specifically we can say that all the destinations of this email are really looking forward of this message, with this we can say that it will never be taken as a SPAM email. With all the mentioned above, in this paper we propose a solution by provisioning resources, and escalating the exact infrastructure needed for the time that is going to be used to deliver the message within a small time requirement defined by a Service Level Agreement (SLA). In this manuscript, we designed the procedure to determine the structure, not only the VMs needed to achieve the requested time, and taking into account the contention problem and we also made a cost/efficiency comparison with the different parameters available for the customer.;;2013;"Morales, Mauricio Alejandro Gomez; Hung, Pham Phuoc; Yang, Seung-Bae; Islam, Md. Motaharul & Huh, Eui-Nam";http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6579364;IEEE;SLA and Cloud;;;;;;;;;;;;;;;;;
628;Agent-based cloud resources negotiation;In Cloud computing, when dealing with the interaction between providers and consumers, one of the main challenges is to build effective mechanisms for SLA negotiation. Such protocols must deal with different policies and objectives of the competing parties. This paper introduces and discusses protocols for SLA negotiation with multiple providers based on the ascending English auction, without requiring the cloud service consumer to reveal her preferences. We show that these protocols have desirable outcomes for all participants, by testing them with own developed agents equipped with different opponent learning strategies on a domain specially created to simulate a cloud environment.;;2012;"Morar, Gabriela Andreea; Ilea, Andreea; Butoi, Alexandru & Silaghi, Gheorghe Cosmin";http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6356202;IEEE;SLA and Cloud;;;;;;;;;;;;;;;;;
629;Load balancing and resource monitoring in cloud;"Nowadays there is huge amount of buzz in Information Technology about the word Cloud Computing, what does it actually means known to very few people I can described it nothing but the model of your Industry on pay per use basis, whatever you required take specify it, take it on rent, use it and pay as per your usage only. For example you required huge servers, you required huge hard disk space to store your data, and all is available on rent basis with the proper SLA.
Then question arises about how to manage these all resources which you are renting, that is all the hectic of cloud managers they will manages the load, traffic coming to these resources which they are providing. This management of the load across the distributed servers which may be located anywhere in the world can be carried out with proper strategy, algorithms.
In this paper we are trying to carry out implementation of an algorithm which balances the incoming load across different servers present in the cloud, there is slight difference in the general load balancing and load balancing in the cloud. We can manage it by using well known first come first serve basic we can have round robin like algorithms but instead of that for more efficient and dynamic usage of the resources we are doing it by using signature pattern matching of the incoming requests and allocating the most efficient and proper resources to execute that incoming requests.";;2012;More, Nitin S. & Hiray, Swapnaja R.;http://dl.acm.org/citation.cfm?id=2381716.2381821;ACM Press;SLA and Cloud;;;;;;;;;;;;;;;;;
630;Customer-aware resource overallocation to improve energy efficiency in realtime Cloud Computing data centers;Energy efficiency is becoming a very important concern for Cloud Computing environments. These are normally composed of large and power consuming data centers to provide the required elasticity and scalability to their customers. In this context, many efforts have been developed to balance the loads at host level. However, determining how to maximize the resources utilization at Virtual Machine (VM) level still remains as a big challenge. This is mainly driven by very dynamic workload behaviors and a wide variety of customers' resource utilization patterns. This paper introduces a dynamic resource provisioning mechanism to overallocate the capacity of real-time Cloud data centers based on customer utilization patterns. Furthermore, its impact on the trade-off between energy efficiency and SLA fulfillment is analyzed. The main idea is to exploit the resource utilization patterns of each customer to decrease the waste produced by resource request overestimations. This creates the opportunity to allocate additional VMs in the same host incrementing its energy efficiency. Nevertheless, this also increases the risk of QoS affectations. The proposed model considers SLA deadlines, predictions based on historical data, and dynamic occupation to determine the amount of resources to overallocate for each host. In addition, a compensation mechanism to adjust resource allocation in cases of underestimation is also described. In order to evaluate the model, simulation experimentation was conducted. Results demonstrate meaningful improvements in energy-efficiency while SLA-deadlines are slightly impacted. However, they also point the importance of strongest compensation policies to reduce availability violations especially during peak utilization periods.;;2011;Moreno, Ismael Solis & Xu, Jie;http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6166239 http://dl.acm.org/citation.cfm?id=2195215.2195278;IEEE;SLA and Cloud;;;;;;;;;;;;;;;;;
631;Open computing infrastructures for elastic services;In the future of corporate IT, companies will rely on highly dynamic distributed IT infrastructures. Federation models are envisioned where a given organization will be both a Cloud provider during periods when its IT infrastructure is not used at its maximal capacity and a Cloud customer in periods of peak activity. In the framework of the Contrail project funded by the European Commission (http://www.contrail-project.eu), a consortium of eleven academic and industrial partners develops an integrated approach to virtualization, offering Infrastructure as a Service services (IaaS), services for federating IaaS clouds and Platform as a Service services (PaaS) on top of federated clouds. Contrail project aims at developing a comprehensive cloud computing software stack in open source. In this talk, we present an overview of Contrail project. We emphasize the research challenges we tackle, which are related to security and quality of protection in cloud federations, Service Level Agreement (SLA) management, efficient virtual platform management, and cloud storage. We also present our approach for building high level storage services and runtimes for elastic applications.;;2011;Morin, Christine;http://dl.acm.org/citation.cfm?id=1996121.1996123;ACM Press;SLA and Cloud;;;;;;;;;;;;;;;;;
632;Towards Cloud Computing SLA Risk Management: Issues and Challenges;Cloud Computing has become mainstream technology offering a commoditized approach to software, platform and infrastructure as a service over the Internet on a global scale. This raises important new security issues beyond traditional perimeter based approaches. This paper attempts to identify these issues and their corresponding challenges, proposing to use risk and Service Level Agreement (SLA) management as the basis for a service level framework to improve governance, risk and compliance in cloud computing environments.;;2012;"Morin, Jean-Henry; Aubert, Jocelyn & Gateau, Benjamin";http://dl.acm.org/citation.cfm?id=2116261.2117082 http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6149562;IEEE;SLA and Cloud;;;;;;;;;;;;;;;;;
633;Decreasing Impact of SLA Violations:A Proactive Resource Allocation Approachfor Cloud Computing Environments;User satisfaction as a significant antecedent to user loyalty has been highlighted by many researchers in market based literatures. SLA violation as an important factor can decrease users' satisfaction level. The amount of this decrease depends on user's characteristics. Some of these characteristics are related to QoS requirements and announced to service provider through SLAs. But some of them are unknown for service provider and selfish users are not interested to reveal them truly. Most the works in literature ignore considering such characteristics and treat users just based on SLA parameters. So, two users with different characteristics but similar SLAs have equal importance for the service provider. In this paper, we use two user's hidden characteristics, named willingness to pay for service and willingness to pay for certainty, to present a new proactive resource allocation approach with aim of decreasing impact of SLA violations. New methods based on learning automaton for estimation of these characteristics are provided as well. To validate our approach we conducted some numerical simulations in critical situations. The results confirm that our approach has ability to improve users' satisfaction level that cause to gain in profitability.;;2014;Morshedlou, Hossein & Meybodi, Mohammad Reza;http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6734676;;SLA and Cloud;;;;;;;;;;;;;;;;;
634;Shared Resource Monitoring and Throughput Optimization in Cloud-Computing Datacenters;Many datacenters employ server consolidation to maximize the efficiency of platform resource usage. As a result, multiple virtual machines (VMs) simultaneously run on each datacenter platform. Contention for shared resources between these virtual machines has an undesirable and non-deterministic impact on their performance behavior in such platforms. This paper proposes the use of shared resource monitoring to (a) understand the resource usage of each virtual machine on each platform, (b) collect resource usage and performance across different platforms to correlate implications of usage to performance, and (c) migrate VMs that are resource-constrained to improve overall datacenter throughput and improve Quality of Service (QoS). We focus our efforts on monitoring and addressing shared cache contention and propose a new optimization metric that captures the priority of the VM and the overall weighted throughput of the datacenter. We conduct detailed experiments emulating datacenter scenarios including on-line transaction processing workloads (based on TPC-C) middle-tier workloads (based on SPECjbb and SPECjAppServer) and financial workloads (based on PARSEC). We show that monitoring shared resource contention (such as shared cache) is highly beneficial to better manage throughput and QoS in a cloud-computing datacenter environment.;;;Moses, Jaideep;http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.207.8103;;SLA and Cloud;;;;;;;;;;;;;;;;;
635;Cloud Computing: The Issue of Service Quality: An Overview of Cloud Service Level Management Architectures;The paper presents a framework for quality management of Cloud Services, that aims to meet requirements of both providers and enterprises. In providers, a capacity planning phase forecasts the load in order to identify resources, while a quality aware cloud balances in real time SLM and efficiency. In enterprises, a dynamic SLA negotiation system chooses the most convenient provider for commodity services, while a dashboard enables enterprises to analyze the business impact of the cloud Qos. Finally, an independent authority verifies the actual QoS that is delivered by providers to enterprises.;;2013;"Motta, Gianmario; You, Linlin; Sacco, Daniele & Sfondrini, Nicola";http://dl.acm.org/citation.cfm?id=2550628.2550674 http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6599390;IEEE;SLA and Cloud;;;;;;;;;;;;;;;;;
636;Service Level Management (SLM) in Cloud Computing - Third Party SLM Framework;The key issue in cloud computing in enterprises is the management of the Quality of Service (QoS), by an appropriate SLM (Service Level Management). Cloud Service Provider are offering SLMs to their users. We think that a third party SLM can be a better way to assure a robust and equal SLM. This paper presents the elements of third party SLM, namely Cloud Service Registration Agent, Negotiation Agent, Compensation Agent, Comment Agent, Billing Agent and Service Monitoring Engine. Such framework has been tested in a real life case. Results show that third party SLM is not only equal, but also dependable and reasonably easy to implement.;;2014;"Motta, Gianmario; You, Linlin; Sfondrini, Nicola; Sacco, Daniele & Ma, Tianyi";http://dl.acm.org/citation.cfm?id=2681967.2682247 http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6927082;IEEE;SLA and Cloud;;;;;;;;;;;;;;;;;
637;A New Trust Management Architecture for Cloud Computing Environment;Cloud Computing is a new emerging computational model. Cloud features like rapid elasticity, pay per use, location independence, on demand infrastructure providing capability and everywhere network access are attracting both Cloud consumers and providers. But there are several concerns relating to security, privacy and trust that hinders the adoption of cloud in spite of several beneficial features. In this paper, we present a trust management architecture which consist of a Cloud Service Registry and Discovery which serves as cloud providers' registry and lists their respective trust values, a Trust Calculator that calculates CSP's trust based on feedbacks of two parameters namely SLA and QoS. A Dynamic Trust Monitor keeps watch on the deviating trust values with time and transactions.;;2012;Muchahari, Monoj Kumar & Sinha, Smriti Kumar;http://dl.acm.org/citation.cfm?id=2473503.2474390 http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6481250;IEEE;SLA and Cloud;;;;;;;;;;;;;;;;;
638;Cloud Sourcing – Next Generation Outsourcing?;Although Cloud Sourcing has been around for some time it could be questioned what actually is known about it. This paper presents a literature review on the specific question if Cloud Sourcing could be seen as the next generation of outsourcing. The reason for doing this is that from an initial sourcing study we found that the sourcing decisions seems to go in the direction of outsourcing as a service which could be described as Cloud Sourcing. Whereas some are convinced that Cloud Sourcing reduces cost and complexity in advantage for increased labor productivity, others maintain that the negotiation with the cloud provider is crucial to ensure data privacy, security regulations, compliance, standards, tolerance for risk, governance and service level agreements. The purpose of this paper is to investigate whether the debate on Cloud Sourcing in the top IS conferences and AIS basket of 8 journals goes in the direction of Cloud Sourcing being the future of sourcing as practice predicts, and to identify the space for the development of this research. An introductory literature review showed that there is not much written about Cloud Sourcing as an alternative for outsourcing albeit it seems to have a great potential.;;2014;"Muhic, Mirella & Johansson, Bj\""{o}rn";http://www.sciencedirect.com/science/article/pii/S2212017314002308;;SLA and Cloud;;;;;;;;;;;;;;;;;
639;Network virtualization, control plane and service orchestration of the ICT STRAUSS project;Emerging cloud applications such as real-time data backup, remote desktop, server clustering, etc. require not only more traffic being delivered between datacenters, but also dedicated and application-specific virtual optical network (VON) services to support each application's QoS and SLA level. On the other hand, another requirement is to support end-to-end network service provisioning across multiple VONs comprising different transport (e.g. Flexi-grid DWDM OCS, OPS, etc) and control plane technologies (e.g., centralized OpenFlow or distributed GMPLS). This paper presents the preliminary architecture of the network virtualization, control and orchestration layers proposed in the STRAUSS project.;;2014;"Munoz, R.; Vilalta, R.; Casellas, R.; Martinez, R.; Cao, X.; Yoshikane, N.; Tsuritani, T.; Contreras, L. M.; Lopez, V.; Fernandez-Palacios, J. P.; de Dios, O. Gonzalez; Autenrieth, A.; Peng, S.; Channegowda, M.; Nejabati, R.; Simeonidou, D. & Schlosser, M.";http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6882667;IEEE;SLA and Cloud;;;;;;;;;;;;;;;;;
640;An Evolutionary Approach for SLA-based Cloud Resource Provisioning;As the number of existing cloud vendors rises, resource count and types are ever increasing leading to a need of cloud management solutions which facilitate easy cloud adoption. While providing several services, cloud management's primary role is resource provisioning. In order to meet application needs in terms of resources, cloud developers must carefully choose among the existing offers in order to deploy their applications. The research presented in this paper enables developers to automate the process of resource provisioning by specifying their preference towards resources and resource attributes based on which the system can propose solutions for their requirements.;;2013;"Munteanu, V. I.; Fortis, T. & Negru, V.";http://dl.acm.org/citation.cfm?id=2494765.2495160 http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6531797;IEEE;SLA and Cloud;;;;;;;;;;;;;;;;;
641;An optimized capacity planning approach for virtual infrastructure exhibiting stochastic workload;"Traditionally, any capacity planning problem is modeled with deterministic workloads by considering the peak workload for resource allocation. In the context of businesses using cloud service, cloud provider could allocate resources for peak workload which could lead to under utilization of resource and charging users for unused yet provisioned resources. Hence we came up with a better capacity planning algorithm which could ensure that we plan for peak usage but do not provision for it.
In our approach, we modeled the problem as a stochastic optimization problem with the objective of minimizing the number of servers considering two important constraints a) stochastic nature of workloads and b) minimizing the application SLA violations. We implemented the model using genetic algorithm and to address the stochastic nature of work loads, we reserved a free pool of resources in each server by the quantity determined by our algorithm. We evaluated the solution with real sever utilization data from a datacenter seeking consolidation. We did comparative analysis on the number of servers required suggested by our solution vs. peak work loads based solutions for various service levels. Our results illustrate that reserving certain amount of resources in servers for addressing variability of workloads gives better results in terms of lesser number of servers compared to packing resources based on peak workloads for the same service levels.";;2010;"Mylavarapu, Swarna; Sukthankar, Vijay & Banerjee, Pradipta";http://dl.acm.org/citation.cfm?id=1774088.1774171;ACM Press;SLA and Cloud;;;;;;;;;;;;;;;;;
642;SLA-based operations of massively multiplayer online games in clouds;Successful massively multiplayer online games (MMOGs) have today millions of registered users and hundreds of thousands of active concurrent players. To be able to guarantee quality of service (QoS) to a highly variable number of concurrent users, game operators statically over-provision a large infrastructure capable of sustaining the game peak load, even though a large portion of the resources is unused most of the time. To address this problem, we introduce in this work a new MMOG ecosystem for hosting and provisioning of MMOGs which effectively splits the traditional monolithic MMOG companies into three main service providers: game providers, game operators, and resource providers. Their interaction is regulated through comprehensive service level agreements (SLA) that establish the price, terms of operation, and compensation for service violations. In our model, game operators efficiently provision resources for MMOGs from multiple cloud providers, based on dynamic load forecasts, and ensure proper game operation that maintains the required QoS to all clients under varying resource availability. Game providers manage multiple distributed MMOGs for which they lease services under strict operational SLAs from game operators to satisfy all client requests. These three self-standing, smaller, more agile service providers enable access to the MMOG market for the small and medium enterprises, and to the current commercial cloud providers. We evaluate, through simulations based on real-life MMOG traces and commercial cloud SLAs, the impact of resource availability on the QoS offered to the MMOG clients. We find that our model can mitigate the negative effects of resource failures within four minutes and that MMOG server consolidation can accentuate the negative effects of failures in a resource-scarce environment. We further investigate different methods of ranking MMOG operational offers with either single or multiple (competing) MMOG providers. Our results show that compensations for SLA faults in the offer selection process can lead up to 11---16 % gain in the game providers' income. We also demonstrate that adequate ranking of offers can lead to MMOG operational cost reductions from 20 up to 60 %.;;2014;"Nae, Vlad; Prodan, Radu & Iosup, Alexandru";http://dl.acm.org/citation.cfm?id=2673677.2673692;Springer-Verlag New York, Inc.;SLA and Cloud;;;;;;;;;;;;;;;;;
643;Autonomic operation of massively multiplayer online games in clouds;To support the variable load of Massively Multiplayer On-line Games (MMOGs) with millions of registered users and thousands of active concurrent players, game operators over-provision a large static infrastructure capable of sustaining the peak load with guaranteed Quality of Service (QoS). This leads to inefficient resource utilisation, high service prices, and limited market participation accessible only to the large companies. To address this problem, we propose a new autonomic ecosystem for hosting and operating MMOGs based on cloud computing principles involving four smaller and better focused business actors whose interaction is regulated through Service Level Agreements (SLAs): resource provider, game operator, game provider, and client. In our model, game providers acquire operation SLAs from game operators to satisfy client requests and manage multiple distributed MMOG sessions. Game operators lease on-demand cloud resources based on the dynamic MMOG load and guarantee the required QoS to all clients. We evaluate through simulations based on real MMOG traces and commercial cloud SLAs different methods of ranking MMOG operation offers. We show that considering compensations for SLA faults in the offer selection can lead to over 11% gains in game providers' income, and that adequate ranking of offers can reduce operational costs by up to 60%.;;2013;"Nae, Vlad; Prodan, Radu & Iosup, Alexandru";http://dl.acm.org/citation.cfm?id=2494621.2494629;ACM Press;SLA and Cloud;;;;;;;;;;;;;;;;;
